title,desc,year,genre,certificate,runtime,rating,votes
The Lego Movie,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",2014,"Animation, Action, Adventure",U,100 min,7.7,"358,889"
The Lord of the Rings: The War of the Rohirrim,"The untold story behind Helm's Deep, hundreds of years before the fateful war, telling the life and bloodsoaked times of its founder, Helm Hammerhand, the King of Rohan.",2023,"Animation, Action, Adventure",,,,
Star Trek: Lower Decks,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.",2020– ,"Animation, Action, Adventure",16,25 min,7.5,"18,849"
Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",1998,"Animation, Adventure, Comedy",U,88 min,7.6,"291,258"
The Croods: A New Age,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",2020,"Animation, Adventure, Comedy",UA,95 min,6.9,"44,688"
The Boondocks,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.",2005–2014,"Animation, Action, Comedy",Not Rated,22 min,8.5,"31,730"
Kaubôi bibappu,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,1998–1999,"Animation, Action, Adventure",A,24 min,8.9,"121,206"
Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",2010,"Animation, Adventure, Comedy",U,95 min,7.6,"550,782"
A Bug's Life,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",I 1998,"Animation, Adventure, Comedy",U,95 min,7.2,"295,856"
The Emperor's New Groove,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",2000,"Animation, Adventure, Comedy",U,78 min,7.4,"207,074"
Sonic the Hedgehog 3,Plot under wraps,2024,"Animation, Action, Adventure",,,,
Chicken Run: Dawn of the Nugget,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in.",2023,"Animation, Adventure, Comedy",,,,
High School DxD,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.",2012–2018,"Animation, Action, Comedy",18,23 min,7.6,"11,271"
The Great North,The adventures of a single dad and his weird Alaskan family.,2021– ,"Animation, Comedy",,21 min,6.7,"4,211"
Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,"Animation, Adventure, Comedy",U,103 min,8.3,"838,624"
Trolls World Tour,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",2020,"Animation, Adventure, Comedy",U,91 min,6.1,"24,159"
Who Framed Roger Rabbit,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,1988,"Animation, Adventure, Comedy",U,104 min,7.7,"203,881"
Gokushufudo,A retired gangster spends his time as a househusband carrying out home chores.,2021– ,"Animation, Action, Comedy",16,16 min,7.3,"4,853"
Velma,"The origin of the sleuth and member of the Mystery Inc. gang, Velma.",2023– ,"Animation, Adventure, Comedy",,,,
The Croods,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",2013,"Animation, Adventure, Comedy",U,98 min,7.2,"217,397"
Boruto: Naruto Next Generations,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.",2017– ,"Animation, Action, Adventure",Not Rated,23 min,6.7,"21,921"
Solar Opposites,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet.",2020– ,"Animation, Comedy, Sci-Fi",,22 min,8.0,"25,097"
Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",2018,"Animation, Adventure, Comedy",U,101 min,7.8,"171,415"
The Prince of Egypt,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,1998,"Animation, Adventure, Drama",UA,99 min,7.2,"134,533"
Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,"Animation, Comedy, Family",U,86 min,8.1,"342,136"
Dragon Age: Absolution,"Set in the Tevinter Empire, the oldest of several human nations in Thedas explore the experiences of its different inhabitants.",2022– ,"Animation, Action, Adventure",A,30 min,6.4,"2,230"
Wreck-It Ralph,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",2012,"Animation, Adventure, Comedy",U,101 min,7.7,"426,385"
Jurassic World: Camp Cretaceous,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020–2022,"Animation, Action, Adventure",7,24 min,7.5,"9,171"
Brave,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",2012,"Animation, Adventure, Comedy",U,93 min,7.1,"415,189"
Regular Show,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,2009–2017,"Animation, Action, Adventure",UA,23 min,8.5,"46,561"
Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",2007,"Animation, Adventure, Comedy",U,93 min,6.1,"310,356"
PAW Patrol,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",2013– ,"Animation, Adventure, Comedy",,23 min,6.1,"3,480"
Tokyo Revengers,"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.",2021– ,"Animation, Action, Crime",UA 16+,24 min,8.0,"17,491"
Chip 'n Dale: Rescue Rangers,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend.",2022,"Animation, Adventure, Comedy",UA 7+,97 min,7.0,"41,025"
The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",III 2022,"Animation, Comedy, Drama",16,97 min,6.8,"17,491"
Hotel Transylvania: Transformania,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment.",2022,"Animation, Adventure, Comedy",U,87 min,6.0,"31,809"
Cloudy with a Chance of Meatballs,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",2009,"Animation, Adventure, Comedy",U,90 min,6.9,"236,482"
The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",2009,"Animation, Adventure, Comedy",,97 min,7.1,"148,289"
Bungo Stray Dogs,"Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically ...                See full summary »",2016– ,"Animation, Action, Comedy",16,24 min,7.8,"6,745"
Lilo & Stitch,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",2002,"Animation, Adventure, Comedy",U,85 min,7.3,"193,611"
Pâfekuto burû,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",1997,"Animation, Crime, Drama",A,81 min,8.0,"78,845"
Shin seiki evangerion,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,1995–1996,"Animation, Action, Drama",U,24 min,8.5,"71,416"
Monsters vs. Aliens,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,2009,"Animation, Action, Adventure",U,94 min,6.4,"164,800"
The Dragon Prince,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",2018– ,"Animation, Action, Adventure",13,26 min,8.3,"24,093"
Gudetama: An Eggcellent Adventure,"A lethargic, empathetic road movie about finding one's parents - for everyone who just wants to laze about. Having resigned itself to the fact that it will just end up on someone's plate, Gudetama just wants to be lazy all the time.",2022– ,"Animation, Short, Adventure",UA 7+,10 min,7.5,760
Cars 3,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,2017,"Animation, Adventure, Comedy",U,102 min,6.7,"102,923"
Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",2012,"Animation, Adventure, Comedy",UA,91 min,7.0,"259,110"
Apollo 10 1/2: A Space Age Adventure,"A coming-of-age story set in the suburbs of Houston, Texas in the summer of 1969, centered around the historic Apollo 11 moon landing.",2022,"Animation, Adventure, Drama",UA 13+,97 min,7.2,"9,054"
Megamind,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",2010,"Animation, Action, Comedy",U,95 min,7.3,"266,304"
Onward,Two elven brothers embark on a quest to bring their father back for one day.,I 2020,"Animation, Adventure, Comedy",U,102 min,7.4,"151,601"
Anastasia,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",1997,"Animation, Adventure, Drama",,94 min,7.1,"126,193"
